Date,EEM,EFA,GLD,QQQ,SPY,TLT
2010-01-04,30.785856246948242,35.76497268676758,109.80000305175781,40.3935661315918,85.27921295166016,57.39413070678711
2010-01-05,31.009309768676758,35.79650115966797,109.69999694824219,40.3935661315918,85.50497436523438,57.764801025390625
2010-01-06,31.074182510375977,35.947811126708984,111.51000213623047,40.14992141723633,85.565185546875,56.991580963134766
2010-01-07,30.893980026245117,35.809112548828125,110.81999969482422,40.17601776123047,85.92633056640625,57.08743667602539
2010-01-08,31.139055252075195,36.092811584472656,111.37000274658203,40.50668716430664,86.2122802734375,57.06184387207031
2010-01-11,31.074182510375977,36.389122009277344,112.8499984741211,40.34136199951172,86.33267974853516,56.748748779296875
2010-01-12,30.576824188232422,35.960418701171875,110.48999786376953,39.83665466308594,85.52754211425781,57.720123291015625
2010-01-13,30.6705265045166,36.263023376464844,111.54000091552734,40.33265686035156,86.24992370605469,57.049076080322266
2010-01-14,30.591232299804688,36.5404167175293,112.02999877929688,40.36745834350586,86.48319244384766,57.84790802001953
2010-01-15,30.238040924072266,35.966732025146484,110.86000061035156,39.89756393432617,85.51251983642578,58.205753326416016
2010-01-19,30.85073471069336,36.31977081298828,111.5199966430664,40.5415153503418,86.58099365234375,58.039615631103516
2010-01-20,30.10828971862793,35.39302444458008,108.94000244140625,39.95849609375,85.70059967041016,58.62753677368164
2010-01-21,29.200069427490234,34.636497497558594,107.37000274658203,39.58430099487305,84.05262756347656,58.89593505859375
2010-01-22,28.55133819580078,33.9619140625,107.16999816894531,38.426971435546875,82.17894744873047,58.79371643066406
2010-01-25,28.7603702545166,34.37800979614258,107.4800033569336,38.55750274658203,82.6003646850586,58.525299072265625
2010-01-26,28.162099838256836,34.18257522583008,107.55999755859375,38.592315673828125,82.25421142578125,58.54446792602539
2010-01-27,28.090023040771484,34.144744873046875,106.52999877929688,38.8968620300293,82.64551544189453,58.51251983642578
2010-01-28,27.895410537719727,33.571041107177734,106.4800033569336,37.89616775512695,81.69737243652344,58.48056411743164
2010-01-29,27.59265899658203,33.085609436035156,105.95999908447266,37.234840393066406,80.8094482421875,58.991844177246094
2010-02-01,28.33509635925293,33.69083023071289,108.3499984741211,37.64381790161133,82.06608581542969,58.45630645751953
2010-02-02,28.56575584411621,34.251922607421875,109.12999725341797,37.98318099975586,83.05937957763672,58.62306213378906
2010-02-03,28.399967193603516,33.8925666809082,108.69999694824219,38.19203186035156,82.64551544189453,57.94328308105469
2010-02-04,27.116928100585938,32.51190185546875,104.37000274658203,37.0869140625,80.09459686279297,58.860355377197266
2010-02-05,26.81418800354004,32.45516586303711,104.68000030517578,37.40016174316406,80.2601089477539,58.98862075805664
2010-02-08,26.5474796295166,31.812101364135742,104.04000091552734,37.130409240722656,79.68072509765625,59.065555572509766
2010-02-09,27.412460327148438,32.81450653076172,105.41000366210938,37.51329040527344,80.68151092529297,58.475547790527344
2010-02-10,27.340383529663086,32.60646438598633,105.12000274658203,37.434959411621094,80.52348327636719,57.917606353759766
2010-02-11,28.061185836791992,32.90907669067383,107.12999725341797,38.00057601928711,81.36627960205078,57.60334396362305
2010-02-12,27.707988739013672,32.6253776550293,107.04000091552734,38.07889938354492,81.29855346679688,57.84062576293945
2010-02-16,28.42159652709961,33.35038757324219,109.62000274658203,38.566200256347656,82.5777587890625,57.94969177246094
2010-02-17,28.522510528564453,33.3945198059082,109.25,38.78373336791992,82.96906280517578,57.289119720458984
2010-02-18,28.630632400512695,33.58365249633789,109.9800033569336,39.02739715576172,83.45820617675781,57.05823516845703
2010-02-19,28.385562896728516,33.3756103515625,109.47000122070312,39.00998306274414,83.63125610351562,57.36605453491211
2010-02-22,28.42159652709961,33.43865203857422,109.06999969482422,38.931671142578125,83.64633178710938,57.12880325317383
2010-02-23,27.76565933227539,32.965816497802734,107.88999938964844,38.426971435546875,82.63046264648438,58.02021026611328
2010-02-24,28.032358169555664,33.173866271972656,107.36000061035156,38.81854248046875,83.39045715332031,58.161285400390625
2010-02-25,27.801706314086914,32.97211837768555,108.30999755859375,38.80984878540039,83.27755737304688,58.4884033203125
2010-02-26,28.082809448242188,33.173866271972656,109.43000030517578,38.949066162109375,83.33024597167969,58.789817810058594
2010-03-01,28.55854606628418,33.43233871459961,109.43000030517578,39.51469421386719,84.19562530517578,58.764060974121094
2010-03-02,28.882915496826172,33.68452072143555,111.0199966430664,39.63652420043945,84.42887115478516,58.686859130859375
2010-03-03,28.91896629333496,34.08800506591797,111.62999725341797,39.680030822753906,84.504150390625,58.538856506347656
2010-03-04,28.767581939697266,33.99973678588867,110.83000183105469,39.810543060302734,84.75997924804688,58.84773635864258
2010-03-05,29.517229080200195,34.66171646118164,110.80999755859375,40.410980224609375,85.97147369384766,58.075687408447266
2010-03-08,29.538846969604492,34.66171646118164,109.87999725341797,40.48926544189453,85.98654174804688,57.77333068847656
2010-03-09,29.70464324951172,34.57974624633789,109.72000122070312,40.71553039550781,86.12952423095703,57.78612518310547
2010-03-10,29.913684844970703,34.72475814819336,108.47000122070312,41.04620361328125,86.51326751708984,57.6381950378418
2010-03-11,29.920883178710938,34.85715103149414,108.5999984741211,41.202823638916016,86.87446594238281,57.850486755371094
2010-03-12,29.819965362548828,35.090415954589844,107.94999694824219,41.21153259277344,86.88200378417969,58.210777282714844
2010-03-15,29.603729248046875,34.844539642333984,108.36000061035156,41.10710525512695,86.90455627441406,58.133628845214844
2010-03-16,29.985755920410156,35.28584289550781,110.4000015258789,41.36817169189453,87.59684753417969,58.596797943115234
